table	11743
provide	62133
summary	1646
case	54738
derive	1798
forecast	6563
give	34514
report	37523
brief	4582
description	1111
major	11006
assumption	4911
underlie	1127
projection	9370
mode	2360
run	14232
nem	795
fully	4102
integrate	5091
par	200
tially	55
integrated	404
standalone	143
reference	19881
page	6075
body	6893
discuss	9511
domestic	5436
macroeconomic	789
activity	12934
present	15771
market	23734
trend	4200
section	8638
following	988
describe	6735
key	10748
regulatory	5560
pro	3019
resource	15948
factor	10755
detailed	3843
sector	21402
available	15927
internet	1348
web	2197
site	9567
result	35677
regional	12241
detail	12244
world	23282
oil	15199
price	28704
assume	8757
annual	7216
average	12837
acquisition	1097
cost	44825
import	7533
crude_oil	2531
u.s	6369
refiner	328
low	28255
high	43553
reflect	7389
alternative	5960
expansion	3173
production_capacity	269
nation	8894
organization	637
petroleum	2998
export	8461
country	34907
opec	2409
particularly	16624
producer	3300
persian	260
gulf	921
region	15684
competition	3745
united_states	5702
examine	5052
national	24042
level	33019
useful	3898
coal	21083
natural_gas	15434
well	20355
significant	18992
amount	2195
fire	6844
capacity	20740
subregion	22
serc	21
reliability	1494
corporation	3593
emm	26
ratio	4157
fuel	20307
ngcc	24
plant	9404
steam	2241
turbine	3633
gas	15008
figure	16228
efficient	5566
fleet	1311
remain	9642
near	3256
competitive	4150
majority	3904
period	19575
indicate	12685
continue	19851
strong	10601
heat	12302
rate	18613
largely	2920
drop	2993
deliver	11782
somewhat	1260
central	4036
appalachian	90
illinois	52
basin	3193
transport	5021
rail	2473
southeast	237
powder	121
river_basin	81
travel	5572
great	22885
distance	1432
use	33632
typically	1820
coast	2721
tend	3050
expensive	2133
retirement	1608
generator	2371
total	17690
gigawatt	1857
new	45455
requirement	11512
install	241
environmental	8661
control	12020
equipment	3789
exist	14638
lead	15690
additional	10856
share	12884
percent	21508
rise	7270
account	12792
large	21358
generating	1357
power_plant	4170
vary	3805
shift	4113
generation	17034
electric	5272
power	30045
grow	12918
compare	12482
conversely	94
midwest	69
western	8066
portion	1090
cover	8589
ohio	26
indiana	23
west	3371
virginia	87
state	42800
combine	4722
cycle	7100
approach	18105
heavily	1365
dependent	1761
fall	6082
nearly	3012
represent	9071
limited	4062
occur	10738
access	16824
multiple	3280
source	11082
include	36212
transportation	4977
deter	371
favor	340
interior	150
ability	6221
switch	1166
moderate	966
expenditure	3935
reduce	18843
economic	14029
incentive	4287
build	14584
increase	45358
relative	3388
make	18117
different	33006
contribute	5877
limit	7434
impact	24890
see	19501
power_sector	1424
decline	7653
replace	2764
biomass	4221
co	6610
economical	607
unit	7879
operate	10573
regulation	8919
encourage	5554
refinery	997
industry	30916
deregulation	1133
inefficient	544
demand	18145
growth	15002
response	15209
late	4578
eliminate	909
excess	1420
utilization	1631
location	4239
production	17928
petroleum_product	475
consumer	8608
complex	4786
exceed	1736
domestic_production	263
long	26562
net	5798
importer	543
year	86327
refined	177
product	10902
rapidly	1700
refining	445
fill	2278
gap	4739
historically	871
availability	2385
lack	5555
foreign	6201
capable	1386
meet	17503
stringent	584
standard	14624
recently	6550
asia	3854
move	7947
adopt	4127
develop	18819
able	27693
vide	105
suitable	2050
future	20808
profitable	634
change	40916
direct	8967
refer	14366
ence	574
sulfur	1508
light	4294
dollar	6111
reach	6511
barrel	4603
begin	4562
slow	3656
gasoline	2981
gallon	969
accordingly	814
retail_price	133
comparison	3841
diesel_fuel	713
recent	8915
federal	8740
enact	966
consistent	4656
taxis	1759
slightly	2986
real	10042
term	47752
substantially	1649
highway	1179
diesel	2621
cent	29158
retail	1904
consumption	11943
project	36915
record	11392
date	10057
domestic_consumption	118
drive	8333
generally	6256
wellhead	295
significantly	5323
economic_growth	4503
similar	7173
recover	2046
output	5293
effect	18297
reduction	12275
input	4346
absorb	699
eventually	953
crude	302
pace	726
expand	4699
supply	10788
step	7363
generate	5124
doe	633
goal	3843
like	50565
renewable	7123
improve	13715
performance	14886
capital	5570
station	2240
nonhydroelectric	141
technology	19944
renewable_resources	161
landfill	238
order	19552
approximate	170
publish	4642
target	11238
office	14116
energy	44649
effi	245
ciency	155
renewable_energy	6488
difference	8871
instead	3080
incorporate	2688
opera	127
tion	3206
maintenance	1954
improvement	6824
capac	235
ity	666
wind	9085
residential	5072
commercial	8091
photovoltaic	2216
system	53609
place	28630
development	17098
geo	58
thermal	7715
require	21598
incremental	672
viable	1349
addition	7383
geothermal	827
raise	14863
megawatt	2043
retain	1701
unchanged	258
ref	201
erence	184
recov	22
ery	29
byproduct	69
industrial	5101
process	49801
rapid	2387
ethanol	2943
cellulosic	173
capture	4199
transporta	144
capi	28
tal	94
operation	13166
solar	7386
con	1836
gas_supply	174
technically	832
recoverable	401
base	33339
estimate	19355
geological_survey	64
usg	129
mineral	923
manage	8729
ment	1121
service	37565
mms	46
department	42301
supplemental	38
adjustment	1675
nonconventional	71
advanced	2511
international	11376
independent	7600
firm	3592
technological	1381
affect	9216
recovery	3650
productivity	5282
simulate	1561
drilling	572
success	3297
find	26016
effective	7846
assumed	210
horizontal	474
completion	1258
technique	2337
conventional	3662
drill	510
operating	3361
lease	1961
equipment_cost	102
expect	18363
exclusively	253
technological_progress	152
category	3478
range	17866
roughly	1396
work	84157
associate	6452
depth	1086
rig	59
avail	260
current	18294
create	9262
assess	7072
sensitivity	1719
jection	179
progress	4888
parameter	5228
adjust	1559
plus	2250
minus	203
unconventional	656
number	41495
exploration	1198
technolo	108
gy	140
canadian	799
tech	618
nology	88
penetration	1600
potential	14753
model	31497
keep	3500
value	14735
ter	75
module	2571
liquefy	417
trade	10127
mexico	1767
specific	13170
assump	103
outlook	2519
liquid	5420
evolve	1229
mix	3345
feedstock	1422
policy	32845
international_market	308
lfmm	62
intent	1919
design	14739
data	2415
modeling	1420
type	10745
configuration	1815
traditional	3362
padd	95
maritime	1254
canada	3048
caribbean	107
condition	12044
implementation	5412
new_technology	803
nonpetroleum	77
pyrolysis	726
rfs	205
mandate	2043
allow	14235
analysis	14447
add	10588
help	15564
extensive	2071
representation	2435
uncertain	964
uncertainty	4731
analyze	3730
accommodate	700
pmm	79
test	11109
produce	9757
version	1301
highlight	4010
area	33727
explore	3417
basis	11773
eia	1185
ensure	15880
directly	5419
attributable	285
alaska	466
gas_pipeline	97
restricted	166
produc	495
sup	218
ply	171
offset	2774
lower	1689
duction	431
cubic	3479
foot	4580
offshore	3079
sensitive	1663
example	23666
opportunity	18254
economically	1311
unconven	26
tional	438
onshore	1151
especially	4435
deep	2201
water	21455
time	77155
necessary	4539
bring	14059
small	13741
differ	1289
ent	56
absence	1521
overall	6997
sec	310
tor	345
growth_rate	1568
past	8384
dri	358
wefa	251
light-duty_vehicle	482
efficiency	13958
jet	797
air	9634
anticipate	2349
duty	2872
appliance	1257
manufacturer	1522
highly	3828
housing	4855
fund	20835
ccap	94
program	39733
sponsor	856
carbon	13001
emission	26998
approximately	3511
metric	2278
ton	4314
primarily	2762
save	3974
sumption	632
survey	5013
recs	33
characteristic	3880
energy_use	4348
vision	1310
personal_computer	39
outside	4628
device	2542
decrease	5043
sion	670
building	13107
shell	1039
purchase	3364
fix	4029
menu	177
particular	24012
regardless	1406
ciencie	35
high_technology	375
early	19420
minimum	2886
epact	88
legislation	19399
representative	5886
air_conditioning	366
heat_pump	1298
sea	2245
energy_efficiency	4821
rating	845
january	4188
force	9606
furnace	334
fluorescent	40
lamp	66
watt	7090
lighting	779
efficacy	296
november	4680
ing	1397
construction	5638
heating	4196
cooling	815
space	6585
respectively	3763
recognize	342
epa	1118
green	6985
star	644
insulation	570
method	9526
facilitate	2682
participant	3348
information	36370
behavior	1810
discount	657
retrofit	867
decision	27027
segment	651
gram	194
end	20400
discount_rate	282
nologie	98
treasury	4117
bond	822
executive	5715
definition	4260
datum	20580
energy_consumption	7417
cbecs	49
parking	263
manufacturing	2528
supplier	2079
phase	6117
allowance	2104
relatively	4650
inexpensive	47
buy	3622
later	5602
electricity	25262
hg	64
emis	405
dominant	712
compliance	5377
option	8777
emission_allowance	71
cap	3062
tighten	401
bill	26932
pur	90
chase	562
permit	2450
equivalent	2838
need	65408
natu	272
ral	277
associated	868
economy	11365
i.e.	1772
play	7399
role	16078
appear	7023
slight	495
important	25522
user	3306
btu	3469
senator	312675
request	7892
consider	21418
technol	154
ogy	112
electricity_generator	175
start	19128
specify	1838
imple	28
ii	2080
congress	545
propose	17822
debate	8174
variety	1890
address	13121
pollution_control	29
electric_power_plant	98
pass	6667
law	17763
addi	213
currently	12764
prepare	3567
regula	90
clean	4016
interstate	379
rule	8149
pcair	36
mercury	483
take	30639
legislative	2834
action	11896
facture	21
agriculture	3598
census	821
bureau	1030
set	18525
coke	468
boiler	1086
fur	80
electric_motor	49
criterion	3708
air_pollutant	247
motor	880
horsepower	63
stock	2383
food	3580
bulk	1767
chemical	3030
metal	1054
durable	92
balance	5206
premium	999
instal	1932
depend	7410
modify	1284
explicit	708
repair	644
update	4852
database	1297
chp	1277
practice	9996
industrial_sector	1746
separate	4377
evaluate	4693
natural	2781
technical	4509
renew	733
focus	13778
gen	1639
eration	160
choice	5087
expectation	3512
aggregate	1381
intensity	4372
composition	1258
primary	5872
annually	1094
hold	9502
constant	1981
inten	80
sity	70
consequently	925
feedback	3181
interaction	2694
energy_market	1057
third	545
subject	7450
corporate	4183
cafe	590
mile	1441
tinue	116
widely	1753
gal	39
lon	33
automobile	156
light_truck	235
projec	284
promulgate	150
april	3478
legisla	29
aeo	272
