,top_words,tfidf,embedding,dataset,model,weights,multi_choice,human_choice
7,"[(0.36324303334084146, 'model'), (0.15072052701923355, 'datum'), (0.0902939675191557, 'method'), (0.07853173242054211, 'base'), (0.06120839157966306, 'prediction'), (0.06073426410350673, 'result'), (0.054479324733061794, 'propose'), (0.04751362068846651, 'network'), (0.04735263231899811, 'predict'), (0.04592250627653095, 'estimate')]","[('1631 economic analysis', 1.91), ('2016 business operations and trade', 1.37), ('6416 research and intellectual property', 1.3), ('0821 defence', 1.18)]","[('1631 economic analysis', 0.9), ('6411 technology and technical regulations', 0.85), ('6416 research and intellectual property', 0.83), ('5206 environmental policy', 0.82)]",journal_energy_policy_applied_energy_1997_2020_abstract_all_ngram_min_freq_150,k30_a0.01_var0.05,1.3121163785251682,"[(['1631 economic analysis', '2016 business operations and trade', '6416 research and intellectual property', '0821 defence'], 'tfidf'), (['3606 natural and applied sciences', '6621 electrical and nuclear industries', '6416 research and intellectual property', '6611 coal and mining industries'], 'baseline'), (['1631 economic analysis', '6411 technology and technical regulations', '6416 research and intellectual property', '5206 environmental policy'], 'emb')]",tfidf
87,"[(0.21463522876849453, 'generation'), (0.11267904731297683, 'natural_gas'), (0.10741954317621161, 'renewable'), (0.10022869513126156, 'nuclear'), (0.08545292144353839, 'capacity'), (0.08389187006520164, 'electricity'), (0.0827937607446054, 'cost'), (0.07359217088634998, 'increase'), (0.07295418156057554, 'coal'), (0.06635258091078446, 'power')]","[('6621 electrical and nuclear industries', 8.21), ('6611 coal and mining industries', 2.97), ('4026 accounting', 2.36), ('2816 demography and population', 1.75)]","[('6626 renewable energy', 0.91), ('6621 electrical and nuclear industries', 0.88), ('6406 production', 0.87), ('6616 oil and gas industry', 0.86)]",greyroads_ieo_min_freq_40_1997_2020_ngram,k30_a0.01_var0.05,1.2857442680872453,"[(['2816 demography and population', '3606 natural and applied sciences', '6831 building and public works', '1631 economic analysis'], 'baseline'), (['6621 electrical and nuclear industries', '6611 coal and mining industries', '4026 accounting', '2816 demography and population'], 'tfidf'), (['6626 renewable energy', '6621 electrical and nuclear industries', '6406 production', '6616 oil and gas industry'], 'emb')]",emb
33,"[(0.21206465583560005, 'barrel'), (0.16817562597579855, 'day'), (0.12509275170309617, 'case'), (0.09587647319791408, 'oil'), (0.07969493997813876, 'production'), (0.07061928805502571, 'low'), (0.06975551513201056, 'oil_production'), (0.0646702915682649, 'price'), (0.05734588530167401, 'reference'), (0.05670457325247711, 'project')]","[('2451 prices', 15.22), ('6616 oil and gas industry', 5.25), ('6406 production', 4.01), ('5631 agricultural activity', 1.32)]","[('2451 prices', 0.92), ('6406 production', 0.91), ('2016 business operations and trade', 0.87), ('2031 marketing', 0.86)]",greyroads_aeo_min_freq_40_1997_2020_ngram,k30_a0.01_var0.05,0.6105896363454958,"[(['2451 prices', '6406 production', '2016 business operations and trade', '2031 marketing'], 'emb'), (['2451 prices', '6616 oil and gas industry', '6406 production', '5631 agricultural activity'], 'tfidf'), (['2031 marketing', '6411 technology and technical regulations', '5621 cultivation of agricultural land', '4816 land transport'], 'baseline')]",emb
28,"[(0.5060304006081716, 'energy'), (0.11169680145064598, 'energy_efficiency'), (0.06901930718404842, 'building'), (0.05628206454319432, 'system'), (0.054917196782609826, 'paper'), (0.04679641364580234, 'analysis'), (0.04401333989113056, 'indicator'), (0.04256382768589895, 'measure'), (0.03850160079437592, 'present'), (0.030179047414122015, 'energy_consumption')]","[('6626 renewable energy', 22.08), ('7621 world organisations', 5.76), ('6621 electrical and nuclear industries', 3.9), ('6831 building and public works', 1.86)]","[('6411 technology and technical regulations', 0.93), ('5206 environmental policy', 0.91), ('6626 renewable energy', 0.9), ('6406 production', 0.89)]",journal_energy_policy_applied_energy_1997_2020_abstract_all_ngram_min_freq_150,k30_a0.01_var0.05,1.2785082173452136,"[(['0436 executive power and public service', '6616 oil and gas industry', '6626 renewable energy', '6836 wood industry'], 'baseline'), (['6626 renewable energy', '7621 world organisations', '6621 electrical and nuclear industries', '6831 building and public works'], 'tfidf'), (['6411 technology and technical regulations', '5206 environmental policy', '6626 renewable energy', '6406 production'], 'emb')]",baseline
32,"[(0.19966528365036137, 'fuel'), (0.15430094582078407, 'cost'), (0.0845809259903958, 'biofuel'), (0.08338854510845131, 'liquid'), (0.08321884533489586, 'production'), (0.07988711225056556, 'ethanol'), (0.07975562163559224, 'market'), (0.07929113000883882, 'feedstock'), (0.0782352514091317, 'process'), (0.07767633879098336, 'product')]","[('2016 business operations and trade', 8.49), ('4026 accounting', 4.5), ('6406 production', 4.42), ('6616 oil and gas industry', 3.85)]","[('6616 oil and gas industry', 0.89), ('6406 production', 0.87), ('6626 renewable energy', 0.85), ('6036 food technology', 0.83)]",greyroads_aeo_min_freq_40_1997_2020_ngram,k30_a0.01_var0.05,0.433302200157449,"[(['6616 oil and gas industry', '6406 production', '6626 renewable energy', '6036 food technology'], 'emb'), (['2016 business operations and trade', '4026 accounting', '6406 production', '6616 oil and gas industry'], 'tfidf'), (['4026 accounting', '0821 defence', '2816 demography and population', '5206 environmental policy'], 'baseline')]",emb
25,"[(0.21647753613152568, 'building'), (0.2011033360371364, 'thermal'), (0.10179030813110827, 'heating'), (0.09875550861861722, 'temperature'), (0.08874599428533318, 'heat'), (0.08544950341568362, 'cool'), (0.06236011130852627, 'material'), (0.04963773838694882, 'air'), (0.04833449718509891, 'pcm'), (0.047345466500021346, 'system')]","[('6831 building and public works', 9.2), ('6621 electrical and nuclear industries', 1.08), ('5216 deterioration of the environment', 1.05), ('2016 business operations and trade', 0.96)]","[('6626 renewable energy', 0.86), ('6411 technology and technical regulations', 0.82), ('5216 deterioration of the environment', 0.82), ('6831 building and public works', 0.82)]",journal_energy_policy_applied_energy_1997_2020_abstract_all_ngram_min_freq_150,k30_a0.01_var0.05,0.7485849872152254,"[(['6831 building and public works', '6621 electrical and nuclear industries', '5216 deterioration of the environment', '2016 business operations and trade'], 'tfidf'), (['6416 research and intellectual property', '1216 criminal law', '6821 mechanical engineering', '6411 technology and technical regulations'], 'baseline'), (['6626 renewable energy', '6411 technology and technical regulations', '5216 deterioration of the environment', '6831 building and public works'], 'emb')]",tfidf
67,"[(0.17233755385462157, 'energy'), (0.15494276354573927, 'energy_consumption'), (0.09982194012700482, 'sector'), (0.09208199920906594, 'energy_use'), (0.08514681922628368, 'industrial_sector'), (0.08403631126257642, 'increase'), (0.08312798989968763, 'industrial'), (0.08272112899401941, 'growth'), (0.07291952396400533, 'intensive'), (0.07286396991699601, 'residential')]","[('6626 renewable energy', 7.52), ('1611 economic conditions', 4.6), ('7621 world organisations', 1.96), ('6621 electrical and nuclear industries', 1.31)]","[('6406 production', 0.92), ('1611 economic conditions', 0.9), ('2016 business operations and trade', 0.89), ('5206 environmental policy', 0.87)]",greyroads_ieo_min_freq_40_1997_2020_ngram,k30_a0.01_var0.05,1.4101054667748845,"[(['6626 renewable energy', '1611 economic conditions', '7621 world organisations', '6621 electrical and nuclear industries'], 'tfidf'), (['6406 production', '1611 economic conditions', '2016 business operations and trade', '5206 environmental policy'], 'emb'), (['5211 natural environment', '6616 oil and gas industry', '4816 land transport', '4811 organisation of transport'], 'baseline')]",emb
60,"[(0.17096776579461864, 'company'), (0.11244027216296246, 'price'), (0.10986930208618614, 'u.s'), (0.1007511964182526, 'government'), (0.09874413679841805, 'percent'), (0.09317361795111381, 'market'), (0.0872005825535718, 'year'), (0.07654300367331804, 'investment'), (0.07627465278264395, 'new'), (0.0740354697789147, 'contract')]","[('2016 business operations and trade', 33.37), ('2451 prices', 26.84), ('0436 executive power and public service', 6.29), ('4811 organisation of transport', 1.52)]","[('2016 business operations and trade', 0.94), ('2451 prices', 0.92), ('4026 accounting', 0.89), ('2031 marketing', 0.88)]",greyroads_ieo_min_freq_40_1997_2020_ngram,k30_a0.01_var0.05,0.3071095881980398,"[(['1611 economic conditions', '6816 iron, steel and other metal industries', '6836 wood industry', '6416 research and intellectual property'], 'baseline'), (['2016 business operations and trade', '2451 prices', '0436 executive power and public service', '4811 organisation of transport'], 'tfidf'), (['2016 business operations and trade', '2451 prices', '4026 accounting', '2031 marketing'], 'emb')]",tfidf
75,"[(0.18795920016576184, 'gas'), (0.14538166504684646, 'lng'), (0.12063136406619296, 'pipeline'), (0.11469036238876651, 'project'), (0.10727916225712199, 'natural_gas'), (0.09510216254673888, 'export'), (0.07778055303701412, 'import'), (0.05121641388899836, 'russia'), (0.05043155286645688, 'percent'), (0.04952756373610198, 'year')]","[('2016 business operations and trade', 5.72), ('6616 oil and gas industry', 2.21), ('4811 organisation of transport', 1.64), ('5216 deterioration of the environment', 0.8)]","[('6406 production', 0.87), ('6616 oil and gas industry', 0.87), ('2016 business operations and trade', 0.82), ('6621 electrical and nuclear industries', 0.82)]",greyroads_ieo_min_freq_40_1997_2020_ngram,k30_a0.01_var0.05,0.8983859559557484,"[(['4811 organisation of transport', '2446 taxation', '6036 food technology', '1631 economic analysis'], 'baseline'), (['2016 business operations and trade', '6616 oil and gas industry', '4811 organisation of transport', '5216 deterioration of the environment'], 'tfidf'), (['6406 production', '6616 oil and gas industry', '2016 business operations and trade', '6621 electrical and nuclear industries'], 'emb')]",tfidf
1,"[(0.3121060241322912, 'fuel'), (0.12164852307639636, 'biofuel'), (0.11091251351861026, 'ethanol'), (0.09049465529456782, 'production'), (0.06694511082862518, 'transport'), (0.0651519283196546, 'biodiesel'), (0.06119950199823692, 'oil'), (0.05941016654816914, 'transportation'), (0.058594706249226566, 'gasoline'), (0.053536870034222174, 'use')]","[('6616 oil and gas industry', 8.94), ('4811 organisation of transport', 8.01), ('6406 production', 4.56), ('6621 electrical and nuclear industries', 2.85)]","[('6616 oil and gas industry', 0.91), ('6626 renewable energy', 0.84), ('6406 production', 0.8), ('6621 electrical and nuclear industries', 0.78)]",journal_energy_policy_applied_energy_1997_2020_abstract_all_ngram_min_freq_150,k30_a0.01_var0.05,0.4038016526629632,"[(['6616 oil and gas industry', '4811 organisation of transport', '6406 production', '6621 electrical and nuclear industries'], 'tfidf'), (['2031 marketing', '4816 land transport', '7226 asia and oceania', '3611 humanities'], 'baseline'), (['6616 oil and gas industry', '6626 renewable energy', '6406 production', '6621 electrical and nuclear industries'], 'emb')]",tfidf
