,index
930,930
946,946
934,934
945,945
976,976
924,924
950,950
983,983
940,940
918,918
926,926
962,962
942,942
949,949
969,969
974,974
947,947
979,979
965,965
978,978
944,944
948,948
952,952
941,941
958,958
966,966
953,953
938,938
917,917
931,931
937,937
925,925
943,943
977,977
933,933
922,922
967,967
964,964
936,936
970,970
932,932
923,923
973,973
963,963
982,982
968,968
939,939
921,921
935,935
971,971
920,920
961,961
927,927
980,980
959,959
956,956
928,928
954,954
981,981
951,951
972,972
960,960
929,929
957,957
955,955
192,192
231,231
237,237
239,239
247,247
198,198
233,233
259,259
220,220
218,218
184,184
254,254
240,240
244,244
203,203
196,196
208,208
221,221
210,210
188,188
243,243
209,209
199,199
236,236
260,260
224,224
242,242
227,227
211,211
215,215
256,256
213,213
194,194
204,204
248,248
235,235
249,249
238,238
223,223
250,250
255,255
258,258
226,226
228,228
212,212
251,251
193,193
234,234
214,214
185,185
232,232
191,191
195,195
257,257
222,222
217,217
245,245
190,190
225,225
229,229
207,207
253,253
186,186
197,197
202,202
246,246
219,219
206,206
200,200
230,230
187,187
216,216
201,201
205,205
241,241
189,189
252,252
353,353
367,367
350,350
365,365
339,339
371,371
351,351
361,361
358,358
342,342
346,346
363,363
370,370
354,354
377,377
382,382
344,344
380,380
374,374
390,390
352,352
348,348
355,355
381,381
376,376
362,362
336,336
349,349
359,359
334,334
388,388
373,373
389,389
357,357
372,372
347,347
386,386
360,360
364,364
338,338
366,366
383,383
341,341
368,368
375,375
335,335
356,356
340,340
369,369
345,345
384,384
378,378
391,391
379,379
337,337
387,387
385,385
343,343
115,115
107,107
128,128
111,111
123,123
113,113
109,109
126,126
140,140
147,147
135,135
124,124
129,129
138,138
141,141
139,139
136,136
106,106
120,120
110,110
137,137
117,117
145,145
118,118
144,144
142,142
148,148
133,133
131,131
132,132
108,108
114,114
153,153
116,116
119,119
149,149
127,127
152,152
151,151
150,150
146,146
143,143
122,122
112,112
134,134
130,130
121,121
782,782
787,787
778,778
756,756
781,781
765,765
785,785
762,762
774,774
783,783
755,755
771,771
746,746
759,759
764,764
770,770
754,754
772,772
767,767
777,777
780,780
752,752
788,788
786,786
750,750
760,760
753,753
768,768
757,757
761,761
789,789
790,790
773,773
758,758
784,784
749,749
751,751
748,748
766,766
779,779
763,763
791,791
775,775
776,776
747,747
769,769
706,706
743,743
722,722
730,730
720,720
707,707
718,718
716,716
724,724
711,711
741,741
714,714
700,700
712,712
701,701
715,715
704,704
710,710
705,705
737,737
721,721
727,727
736,736
708,708
744,744
723,723
739,739
731,731
713,713
732,732
734,734
717,717
735,735
738,738
728,728
733,733
703,703
740,740
726,726
698,698
709,709
742,742
725,725
719,719
729,729
702,702
699,699
309,309
316,316
303,303
322,322
297,297
289,289
310,310
306,306
312,312
296,296
298,298
291,291
331,331
323,323
308,308
294,294
290,290
327,327
328,328
318,318
332,332
292,292
325,325
299,299
321,321
314,314
319,319
311,311
307,307
302,302
305,305
329,329
300,300
326,326
324,324
304,304
313,313
320,320
301,301
293,293
317,317
295,295
315,315
330,330
864,864
888,888
861,861
869,869
906,906
886,886
855,855
900,900
875,875
890,890
881,881
904,904
874,874
894,894
909,909
857,857
912,912
858,858
889,889
859,859
903,903
867,867
910,910
887,887
862,862
892,892
893,893
865,865
882,882
901,901
873,873
898,898
914,914
885,885
899,899
884,884
879,879
872,872
868,868
907,907
895,895
905,905
911,911
866,866
876,876
902,902
877,877
913,913
896,896
880,880
883,883
863,863
891,891
870,870
878,878
897,897
856,856
871,871
860,860
999,999
997,997
1006,1006
994,994
1001,1001
1023,1023
990,990
1009,1009
1004,1004
986,986
989,989
1026,1026
993,993
998,998
1024,1024
1013,1013
1018,1018
1000,1000
1027,1027
1022,1022
1010,1010
1005,1005
1007,1007
988,988
987,987
1015,1015
1011,1011
1008,1008
996,996
991,991
1003,1003
1002,1002
992,992
1019,1019
1014,1014
1012,1012
1020,1020
1028,1028
1017,1017
1016,1016
995,995
1021,1021
1025,1025
852,852
817,817
818,818
816,816
823,823
847,847
829,829
820,820
809,809
824,824
808,808
807,807
812,812
819,819
810,810
846,846
826,826
838,838
845,845
844,844
814,814
813,813
839,839
828,828
811,811
806,806
849,849
832,832
850,850
825,825
848,848
841,841
834,834
851,851
836,836
830,830
822,822
837,837
833,833
827,827
853,853
821,821
835,835
815,815
840,840
831,831
665,665
660,660
651,651
669,669
679,679
677,677
661,661
650,650
678,678
682,682
680,680
672,672
691,691
664,664
666,666
695,695
668,668
654,654
693,693
670,670
673,673
676,676
667,667
671,671
652,652
657,657
692,692
694,694
662,662
688,688
675,675
690,690
674,674
689,689
696,696
656,656
655,655
653,653
684,684
685,685
658,658
687,687
659,659
663,663
681,681
683,683
686,686
29,29
44,44
43,43
32,32
30,30
23,23
31,31
10,10
12,12
3,3
5,5
39,39
2,2
6,6
27,27
25,25
45,45
33,33
9,9
7,7
28,28
41,41
38,38
24,24
18,18
36,36
11,11
42,42
15,15
22,22
4,4
19,19
35,35
17,17
16,16
26,26
37,37
8,8
1,1
40,40
14,14
34,34
13,13
20,20
21,21
451,451
430,430
413,413
428,428
415,415
422,422
439,439
432,432
435,435
411,411
447,447
425,425
427,427
438,438
429,429
420,420
410,410
423,423
453,453
433,433
458,458
409,409
442,442
424,424
446,446
434,434
448,448
445,445
457,457
436,436
449,449
440,440
450,450
414,414
421,421
454,454
444,444
456,456
419,419
412,412
417,417
416,416
426,426
431,431
443,443
437,437
452,452
441,441
418,418
455,455
459,459
67,67
51,51
70,70
78,78
49,49
76,76
101,101
65,65
63,63
58,58
81,81
86,86
48,48
96,96
88,88
59,59
100,100
83,83
66,66
85,85
47,47
72,72
60,60
92,92
52,52
80,80
97,97
102,102
71,71
94,94
77,77
84,84
82,82
104,104
62,62
79,79
57,57
90,90
69,69
73,73
68,68
75,75
61,61
74,74
89,89
99,99
93,93
50,50
103,103
53,53
95,95
98,98
64,64
91,91
87,87
1077,1077
1101,1101
1050,1050
1074,1074
1102,1102
1067,1067
1131,1131
1120,1120
1079,1079
1083,1083
1068,1068
1134,1134
1103,1103
1142,1142
1139,1139
1094,1094
1141,1141
1088,1088
1092,1092
1052,1052
1111,1111
1138,1138
1078,1078
1112,1112
1055,1055
1113,1113
1087,1087
1118,1118
1128,1128
1127,1127
1089,1089
1137,1137
1146,1146
1090,1090
1098,1098
1108,1108
1058,1058
1065,1065
1114,1114
1085,1085
1100,1100
1144,1144
1080,1080
1066,1066
1081,1081
1132,1132
1073,1073
1097,1097
1096,1096
1084,1084
1057,1057
1110,1110
1075,1075
1061,1061
1091,1091
1049,1049
1116,1116
1105,1105
1053,1053
1145,1145
1140,1140
1124,1124
1125,1125
1107,1107
1093,1093
1115,1115
1121,1121
1119,1119
1070,1070
1099,1099
1133,1133
1117,1117
1106,1106
1062,1062
1069,1069
1072,1072
1135,1135
1143,1143
1122,1122
1060,1060
1147,1147
1136,1136
1109,1109
1059,1059
1071,1071
1056,1056
1051,1051
1086,1086
1064,1064
1076,1076
1129,1129
1104,1104
1082,1082
1123,1123
1095,1095
1130,1130
1126,1126
1251,1251
1228,1228
1172,1172
1266,1266
1230,1230
1247,1247
1252,1252
1178,1178
1213,1213
1210,1210
1268,1268
1259,1259
1212,1212
1202,1202
1167,1167
1188,1188
1205,1205
1198,1198
1211,1211
1182,1182
1203,1203
1175,1175
1176,1176
1151,1151
1249,1249
1239,1239
1232,1232
1204,1204
1220,1220
1196,1196
1223,1223
1168,1168
1229,1229
1217,1217
1165,1165
1170,1170
1246,1246
1197,1197
1257,1257
1159,1159
1236,1236
1161,1161
1216,1216
1149,1149
1164,1164
1269,1269
1270,1270
1234,1234
1226,1226
1177,1177
1192,1192
1206,1206
1245,1245
1261,1261
1191,1191
1155,1155
1174,1174
1173,1173
1163,1163
1190,1190
1231,1231
1255,1255
1221,1221
1148,1148
1265,1265
1208,1208
1225,1225
1209,1209
1233,1233
1181,1181
1195,1195
1193,1193
1256,1256
1237,1237
1189,1189
1253,1253
1160,1160
1201,1201
1244,1244
1242,1242
1169,1169
1200,1200
1240,1240
1227,1227
1187,1187
1258,1258
1218,1218
1260,1260
1262,1262
1219,1219
1166,1166
1185,1185
1224,1224
1222,1222
1179,1179
1199,1199
1186,1186
1250,1250
1263,1263
1235,1235
1214,1214
1171,1171
1207,1207
1153,1153
1243,1243
1248,1248
1254,1254
1183,1183
1194,1194
1264,1264
1241,1241
1162,1162
1152,1152
1180,1180
1154,1154
1267,1267
1184,1184
1215,1215
1238,1238
1048,1048
1039,1039
1033,1033
1029,1029
1037,1037
1036,1036
1034,1034
1047,1047
1043,1043
1041,1041
1035,1035
1042,1042
1040,1040
1030,1030
1046,1046
1032,1032
1045,1045
1038,1038
1044,1044
529,529
471,471
485,485
599,599
477,477
486,486
598,598
560,560
494,494
630,630
461,461
558,558
605,605
549,549
634,634
481,481
464,464
591,591
566,566
629,629
636,636
619,619
618,618
543,543
582,582
551,551
621,621
552,552
583,583
479,479
532,532
638,638
462,462
628,628
597,597
581,581
535,535
522,522
538,538
594,594
624,624
493,493
478,478
527,527
610,610
579,579
482,482
526,526
506,506
561,561
622,622
643,643
497,497
617,617
573,573
548,548
584,584
554,554
513,513
528,528
567,567
542,542
553,553
575,575
571,571
615,615
514,514
620,620
578,578
534,534
631,631
613,613
570,570
585,585
490,490
596,596
503,503
614,614
536,536
589,589
588,588
590,590
602,602
572,572
523,523
533,533
603,603
465,465
626,626
519,519
545,545
541,541
480,480
644,644
609,609
593,593
557,557
501,501
539,539
525,525
531,531
507,507
504,504
637,637
530,530
499,499
495,495
516,516
518,518
491,491
587,587
568,568
505,505
595,595
547,547
500,500
616,616
601,601
604,604
498,498
555,555
576,576
544,544
515,515
607,607
521,521
611,611
580,580
487,487
559,559
512,512
633,633
635,635
574,574
511,511
537,537
489,489
625,625
569,569
606,606
496,496
517,517
546,546
639,639
509,509
586,586
623,623
640,640
550,550
488,488
608,608
641,641
648,648
627,627
632,632
645,645
556,556
577,577
524,524
540,540
484,484
563,563
642,642
612,612
502,502
592,592
647,647
520,520
492,492
565,565
508,508
564,564
600,600
646,646
562,562
510,510
466,466
1312,1312
1349,1349
1402,1402
1369,1369
1338,1338
1366,1366
1398,1398
1392,1392
1381,1381
1370,1370
1362,1362
1320,1320
1291,1291
1376,1376
1316,1316
1400,1400
1401,1401
1287,1287
1302,1302
1340,1340
1399,1399
1344,1344
1407,1407
1393,1393
1353,1353
1354,1354
1367,1367
1403,1403
1373,1373
1352,1352
1343,1343
1288,1288
1359,1359
1315,1315
1307,1307
1365,1365
1385,1385
1357,1357
1290,1290
1363,1363
1309,1309
1310,1310
1285,1285
1330,1330
1318,1318
1391,1391
1347,1347
1335,1335
1358,1358
1304,1304
1360,1360
1404,1404
1342,1342
1334,1334
1364,1364
1314,1314
1356,1356
1286,1286
1346,1346
1406,1406
1300,1300
1388,1388
1379,1379
1350,1350
1355,1355
1322,1322
1326,1326
1405,1405
1308,1308
1383,1383
1377,1377
1387,1387
1328,1328
1371,1371
1386,1386
1298,1298
1293,1293
1368,1368
1336,1336
1395,1395
1397,1397
1324,1324
1341,1341
1327,1327
1348,1348
1292,1292
1375,1375
1306,1306
1296,1296
1408,1408
1389,1389
1374,1374
1332,1332
1294,1294
282,282
287,287
1282,1282
285,285
1272,1272
1278,1278
1279,1279
281,281
1281,1281
1280,1280
284,284
1274,1274
1276,1276
279,279
1273,1273
1275,1275
168,168
163,163
170,170
182,182
165,165
177,177
181,181
164,164
162,162
167,167
159,159
179,179
180,180
160,160
166,166
796,796
275,275
793,793
265,265
798,798
271,271
270,270
394,394
274,274
277,277
266,266
405,405
398,398
273,273
404,404
799,799
803,803
264,264
395,395
272,272
393,393
396,396
267,267
801,801
268,268
263,263
399,399
407,407
797,797
402,402
400,400
795,795
794,794
397,397
406,406
269,269
401,401
276,276
