,index
7466,7466
7447,7447
7439,7439
7495,7495
7537,7537
7456,7456
7451,7451
7536,7536
7542,7542
7477,7477
7473,7473
7516,7516
7474,7474
7449,7449
7551,7551
7481,7481
7513,7513
7552,7552
7547,7547
7482,7482
7442,7442
7476,7476
7553,7553
7467,7467
7488,7488
7539,7539
7500,7500
7458,7458
7468,7468
7484,7484
7554,7554
7438,7438
7486,7486
7497,7497
7525,7525
7558,7558
7515,7515
7555,7555
7445,7445
7469,7469
7503,7503
7534,7534
7502,7502
7505,7505
7524,7524
7499,7499
7510,7510
7459,7459
7559,7559
7504,7504
7530,7530
7532,7532
7518,7518
7527,7527
7457,7457
7462,7462
7538,7538
7443,7443
7528,7528
7517,7517
7535,7535
7506,7506
7479,7479
7511,7511
7434,7434
7472,7472
7453,7453
7471,7471
7440,7440
7463,7463
7501,7501
7508,7508
7556,7556
7541,7541
7487,7487
7514,7514
7470,7470
7540,7540
7546,7546
7478,7478
7475,7475
7496,7496
7444,7444
7550,7550
7545,7545
7441,7441
7512,7512
7507,7507
7548,7548
7523,7523
7436,7436
7433,7433
7464,7464
7522,7522
7520,7520
7490,7490
7460,7460
7450,7450
7492,7492
7529,7529
7435,7435
7448,7448
7557,7557
7489,7489
7465,7465
7509,7509
7437,7437
7533,7533
7493,7493
7454,7454
7452,7452
7498,7498
7549,7549
7485,7485
7480,7480
7461,7461
7544,7544
7521,7521
7531,7531
7446,7446
7519,7519
7491,7491
7483,7483
7494,7494
7543,7543
7455,7455
7526,7526
21752,21752
21764,21764
21666,21666
21772,21772
21696,21696
21663,21663
21761,21761
21705,21705
21745,21745
21686,21686
21747,21747
21743,21743
21780,21780
21712,21712
21744,21744
21721,21721
21672,21672
21702,21702
21763,21763
21786,21786
21778,21778
21695,21695
21687,21687
21757,21757
21766,21766
21678,21678
21673,21673
21751,21751
21775,21775
21700,21700
21724,21724
21742,21742
21739,21739
21755,21755
21690,21690
21718,21718
21709,21709
21711,21711
21667,21667
21697,21697
21720,21720
21704,21704
21748,21748
21669,21669
21706,21706
21660,21660
21758,21758
21682,21682
21765,21765
21661,21661
21693,21693
21723,21723
21670,21670
21688,21688
21662,21662
21753,21753
21733,21733
21684,21684
21665,21665
21773,21773
21783,21783
21680,21680
21714,21714
21692,21692
21713,21713
21760,21760
21694,21694
21701,21701
21698,21698
21734,21734
21729,21729
21691,21691
21703,21703
21735,21735
21707,21707
21738,21738
21770,21770
21715,21715
21768,21768
21740,21740
21762,21762
21737,21737
21683,21683
21731,21731
21781,21781
21671,21671
21749,21749
21759,21759
21746,21746
21716,21716
21782,21782
21756,21756
21674,21674
21722,21722
21774,21774
21779,21779
21769,21769
21784,21784
21750,21750
21741,21741
21728,21728
21719,21719
21679,21679
21708,21708
21710,21710
21676,21676
21668,21668
21685,21685
21681,21681
21717,21717
21725,21725
21664,21664
21675,21675
21726,21726
21767,21767
21730,21730
21736,21736
21727,21727
21754,21754
21776,21776
21771,21771
21785,21785
21732,21732
21677,21677
21689,21689
21699,21699
21777,21777
20594,20594
20698,20698
20661,20661
20629,20629
20678,20678
20577,20577
20690,20690
20622,20622
20599,20599
20610,20610
20608,20608
20686,20686
20634,20634
20600,20600
20687,20687
20701,20701
20692,20692
20573,20573
20621,20621
20653,20653
20630,20630
20689,20689
20589,20589
20658,20658
20676,20676
20640,20640
20601,20601
20639,20639
20619,20619
20696,20696
20700,20700
20585,20585
20668,20668
20641,20641
20675,20675
20631,20631
20647,20647
20592,20592
20704,20704
20597,20597
20628,20628
20593,20593
20671,20671
20657,20657
20606,20606
20615,20615
20680,20680
20574,20574
20591,20591
20664,20664
20588,20588
20705,20705
20679,20679
20576,20576
20627,20627
20637,20637
20636,20636
20672,20672
20632,20632
20649,20649
20667,20667
20572,20572
20604,20604
20691,20691
20614,20614
20674,20674
20638,20638
20578,20578
20575,20575
20703,20703
20617,20617
20603,20603
20685,20685
20613,20613
20596,20596
20663,20663
20684,20684
20635,20635
20699,20699
20623,20623
20681,20681
20646,20646
20660,20660
20612,20612
20654,20654
20693,20693
20682,20682
20656,20656
20582,20582
20624,20624
20688,20688
20694,20694
20605,20605
20683,20683
20648,20648
20598,20598
20625,20625
20665,20665
20650,20650
20580,20580
20579,20579
20655,20655
20697,20697
20586,20586
20616,20616
20620,20620
20642,20642
20702,20702
20644,20644
20669,20669
20584,20584
20595,20595
20677,20677
20670,20670
20695,20695
20662,20662
20581,20581
20587,20587
20607,20607
20626,20626
20609,20609
